train_id,train_number,train_type,origin,destination,corridor_id,station_from,station_to,arrival_time,departure_time,scheduled_date,direction
TR0058,15006,Passenger,Tiruppur,Coimbatore,COR_16,Tiruppur,Coimbatore,06:53,05:30,2026-09-23,Up
TR0059,68114,Goods,Vaniyambadi,Katpadi,COR_06,Vaniyambadi,Katpadi,13:58,13:00,2026-09-05,Down
TR0060,53603,Mail/Express,Dindigul,Bengaluru_City,COR_04,Dindigul,Bengaluru_City,07:28,06:50,2026-09-14,Up
TR0061,64575,Mail/Express,Salem,Tiruchirappalli,COR_19,Salem,Tiruchirappalli,04:46,00:50,2026-09-05,Up
TR0062,32621,Goods,Tiruchirappalli,Vaniyambadi,COR_07,Tiruchirappalli,Vaniyambadi,00:32,23:20,2026-09-12,Up
TR0063,50784,Passenger,Karur,Jolarpettai,COR_17,Karur,Jolarpettai,21:21,20:50,2026-09-15,Up
TR0064,25238,Suburban,Tiruppur,Katpadi,COR_11,Tiruppur,Katpadi,19:45,18:30,2026-09-09,Up
TR0065,59090,Goods,Dharmapuri,Chennai_Central,COR_06,Dharmapuri,Chennai_Central,07:21,05:00,2026-09-11,Down
TR0066,33331,Passenger,Vaniyambadi,Hosur,COR_07,Vaniyambadi,Hosur,04:26,01:30,2026-09-22,Down
TR0067,48657,Passenger,Krishnarajapuram,Bangarapet,COR_14,Krishnarajapuram,Bangarapet,10:10,08:10,2026-09-18,Down
TR0068,78556,Goods,Coimbatore,Salem,COR_03,Coimbatore,Salem,21:48,18:20,2026-09-24,Up
TR0069,66866,Passenger,Erode,Vaniyambadi,COR_02,Erode,Vaniyambadi,19:57,17:40,2026-09-13,Up
TR0070,43844,Passenger,Tiruchirappalli,Bengaluru_City,COR_11,Tiruchirappalli,Bengaluru_City,04:57,02:40,2026-09-12,Up
TR0071,52335,Passenger,Tiruchirappalli,Jolarpettai,COR_04,Tiruchirappalli,Jolarpettai,19:39,15:10,2026-09-16,Up
TR0072,72324,Passenger,Vellore,Salem,COR_11,Vellore,Salem,04:15,00:10,2026-09-24,Up
TR0073,12850,Goods,Salem,Hosur,COR_06,Salem,Hosur,07:35,05:30,2026-09-23,Down
TR0074,58918,Goods,Karur,Erode,COR_19,Karur,Erode,17:49,15:10,2026-09-19,Down
TR0075,65822,Mail/Express,Arakkonam,Krishnarajapuram,COR_10,Arakkonam,Krishnarajapuram,20:05,16:00,2026-09-22,Down
TR0076,78692,Passenger,Chennai_Central,Jolarpettai,COR_19,Chennai_Central,Jolarpettai,19:13,16:10,2026-09-22,Up
TR0077,55364,Goods,Dharmapuri,Arakkonam,COR_05,Dharmapuri,Arakkonam,04:02,02:20,2026-09-09,Down
TR0078,20534,Passenger,Vaniyambadi,Bangarapet,COR_01,Vaniyambadi,Bangarapet,08:27,05:20,2026-09-10,Down
TR0079,10648,Goods,Krishnarajapuram,Vaniyambadi,COR_03,Krishnarajapuram,Vaniyambadi,01:21,21:40,2026-09-15,Up
TR0080,59321,Mail/Express,Dindigul,Erode,COR_16,Dindigul,Erode,02:41,22:10,2026-09-11,Up
TR0081,47118,Mail/Express,Vaniyambadi,Dharmapuri,COR_13,Vaniyambadi,Dharmapuri,07:47,04:30,2026-09-17,Down
TR0082,39057,Mail/Express,Katpadi,Salem,COR_18,Katpadi,Salem,16:33,15:50,2026-09-09,Up
TR0083,20127,Goods,Salem,Dharmapuri,COR_12,Salem,Dharmapuri,19:53,16:00,2026-09-08,Down
TR0084,54510,Passenger,Arakkonam,Bangarapet,COR_07,Arakkonam,Bangarapet,10:47,09:30,2026-09-09,Down
TR0085,14564,Passenger,Hosur,Dindigul,COR_05,Hosur,Dindigul,17:26,12:50,2026-09-17,Up
TR0086,55388,Goods,Erode,Tiruchirappalli,COR_06,Erode,Tiruchirappalli,04:42,03:30,2026-09-07,Down
TR0087,60330,Goods,Jolarpettai,Dharmapuri,COR_01,Jolarpettai,Dharmapuri,09:29,04:40,2026-09-04,Down
TR0088,25198,Goods,Karur,Arakkonam,COR_13,Karur,Arakkonam,12:12,09:30,2026-09-18,Down
TR0089,79692,Mail/Express,Dharmapuri,Salem,COR_16,Dharmapuri,Salem,07:17,03:10,2026-09-06,Up
TR0090,67001,Passenger,Dharmapuri,Bengaluru_City,COR_01,Dharmapuri,Bengaluru_City,11:02,06:40,2026-09-13,Up
TR0091,43072,Goods,Coimbatore,Tiruppur,COR_04,Coimbatore,Tiruppur,14:39,11:00,2026-09-13,Up
TR0092,12296,Goods,Bengaluru_City,Jolarpettai,COR_18,Bengaluru_City,Jolarpettai,13:23,09:20,2026-09-13,Up
TR0093,42588,Passenger,Vellore,Salem,COR_20,Vellore,Salem,02:52,23:00,2026-09-21,Up
TR0094,70035,Goods,Vaniyambadi,Coimbatore,COR_05,Vaniyambadi,Coimbatore,16:46,13:20,2026-09-11,Down
TR0095,23254,Passenger,Katpadi,Dharmapuri,COR_02,Katpadi,Dharmapuri,12:45,11:00,2026-09-06,Down
TR0096,20391,Mail/Express,Karur,Erode,COR_10,Karur,Erode,02:51,00:10,2026-09-17,Up
TR0097,16400,Passenger,Bengaluru_City,Hosur,COR_07,Bengaluru_City,Hosur,22:14,19:40,2026-09-19,Up
TR0098,62254,Suburban,Bengaluru_City,Jolarpettai,COR_14,Bengaluru_City,Jolarpettai,09:33,08:40,2026-09-13,Down
TR0099,46014,Passenger,Karur,Bangarapet,COR_01,Karur,Bangarapet,02:06,00:30,2026-09-23,Down
TR0100,38974,Passenger,Krishnarajapuram,Dindigul,COR_04,Krishnarajapuram,Dindigul,04:06,00:50,2026-09-13,Down
TR0101,11647,Passenger,Karur,Dharmapuri,COR_19,Karur,Dharmapuri,22:03,17:30,2026-09-14,Down
TR0102,79761,Goods,Vaniyambadi,Tiruppur,COR_15,Vaniyambadi,Tiruppur,01:47,23:30,2026-09-16,Down
TR0103,20891,Passenger,Arakkonam,Katpadi,COR_13,Arakkonam,Katpadi,23:56,20:30,2026-09-20,Down
TR0104,13875,Passenger,Hosur,Dharmapuri,COR_10,Hosur,Dharmapuri,19:19,14:50,2026-09-22,Up
TR0105,74324,Suburban,Salem,Karur,COR_20,Salem,Karur,15:55,13:00,2026-09-16,Up
TR0106,24500,Goods,Vellore,Dindigul,COR_13,Vellore,Dindigul,14:28,12:10,2026-09-09,Up
TR0107,46553,Passenger,Dindigul,Karur,COR_13,Dindigul,Karur,15:14,11:10,2026-09-15,Up
TR0108,70806,Passenger,Tiruchirappalli,Erode,COR_11,Tiruchirappalli,Erode,12:13,07:30,2026-09-18,Up
TR0109,70820,Goods,Erode,Hosur,COR_06,Erode,Hosur,04:01,00:40,2026-09-07,Down
TR0110,39385,Passenger,Karur,Dindigul,COR_19,Karur,Dindigul,13:54,13:10,2026-09-23,Up
TR0111,31818,Goods,Karur,Chennai_Central,COR_20,Karur,Chennai_Central,13:17,10:40,2026-09-19,Up
TR0112,31152,Goods,Chennai_Central,Erode,COR_12,Chennai_Central,Erode,19:48,17:40,2026-09-11,Up
TR0113,14048,Passenger,Bangarapet,Dharmapuri,COR_16,Bangarapet,Dharmapuri,05:23,04:20,2026-09-18,Down
TR0114,24569,Mail/Express,Tiruppur,Krishnarajapuram,COR_08,Tiruppur,Krishnarajapuram,10:16,05:30,2026-09-14,Up
TR0115,63260,Mail/Express,Tiruppur,Katpadi,COR_08,Tiruppur,Katpadi,01:36,00:50,2026-09-19,Down
TR0116,13109,Goods,Karur,Bengaluru_City,COR_03,Karur,Bengaluru_City,00:11,22:40,2026-09-05,Down
TR0117,67677,Goods,Arakkonam,Salem,COR_13,Arakkonam,Salem,17:41,12:50,2026-09-07,Up
TR0118,64118,Goods,Bengaluru_City,Vellore,COR_05,Bengaluru_City,Vellore,02:47,23:10,2026-09-08,Up
TR0119,70062,Mail/Express,Bangarapet,Bengaluru_City,COR_16,Bangarapet,Bengaluru_City,04:27,03:20,2026-09-19,Up
TR0120,69031,Goods,Dharmapuri,Hosur,COR_09,Dharmapuri,Hosur,01:49,22:30,2026-09-22,Down
TR0121,13400,Passenger,Arakkonam,Vaniyambadi,COR_20,Arakkonam,Vaniyambadi,07:37,04:40,2026-09-15,Down
TR0122,72296,Goods,Hosur,Jolarpettai,COR_10,Hosur,Jolarpettai,21:56,18:50,2026-09-13,Up
TR0123,13670,Mail/Express,Vaniyambadi,Hosur,COR_05,Vaniyambadi,Hosur,14:46,12:20,2026-09-22,Down
TR0124,77740,Goods,Chennai_Central,Bengaluru_City,COR_05,Chennai_Central,Bengaluru_City,16:40,11:50,2026-09-23,Up
TR0125,59542,Mail/Express,Vaniyambadi,Tiruchirappalli,COR_12,Vaniyambadi,Tiruchirappalli,14:21,10:40,2026-09-19,Up
TR0126,18487,Passenger,Coimbatore,Jolarpettai,COR_17,Coimbatore,Jolarpettai,16:07,15:30,2026-09-13,Up
TR0127,35813,Passenger,Vaniyambadi,Bengaluru_City,COR_08,Vaniyambadi,Bengaluru_City,21:21,19:50,2026-09-18,Up
TR0128,62231,Goods,Krishnarajapuram,Bangarapet,COR_17,Krishnarajapuram,Bangarapet,12:36,11:50,2026-09-14,Up
TR0129,42502,Passenger,Dindigul,Katpadi,COR_09,Dindigul,Katpadi,06:27,01:30,2026-09-09,Up
TR0130,46369,Passenger,Tiruppur,Jolarpettai,COR_08,Tiruppur,Jolarpettai,04:26,01:40,2026-09-10,Up
TR0131,41973,Goods,Tiruchirappalli,Hosur,COR_05,Tiruchirappalli,Hosur,03:36,01:10,2026-09-22,Down
TR0132,35745,Goods,Vellore,Arakkonam,COR_15,Vellore,Arakkonam,11:57,10:50,2026-09-18,Up
TR0133,73862,Passenger,Bangarapet,Vellore,COR_16,Bangarapet,Vellore,20:00,17:40,2026-09-04,Down
TR0134,10064,Passenger,Tiruppur,Bangarapet,COR_04,Tiruppur,Bangarapet,23:13,18:50,2026-09-17,Down
TR0135,47192,Suburban,Jolarpettai,Dharmapuri,COR_16,Jolarpettai,Dharmapuri,21:23,16:30,2026-09-13,Down
TR0136,50475,Goods,Krishnarajapuram,Dharmapuri,COR_18,Krishnarajapuram,Dharmapuri,13:37,08:50,2026-09-07,Up
TR0137,31381,Passenger,Chennai_Central,Dharmapuri,COR_16,Chennai_Central,Dharmapuri,21:13,16:30,2026-09-17,Down
TR0138,35374,Mail/Express,Tiruppur,Dharmapuri,COR_04,Tiruppur,Dharmapuri,22:53,20:50,2026-09-11,Up
TR0139,23489,Goods,Tiruchirappalli,Hosur,COR_10,Tiruchirappalli,Hosur,15:11,10:40,2026-09-23,Up
TR0140,32515,Mail/Express,Vaniyambadi,Dharmapuri,COR_19,Vaniyambadi,Dharmapuri,09:02,05:10,2026-09-23,Up
TR0141,45308,Passenger,Tiruchirappalli,Coimbatore,COR_11,Tiruchirappalli,Coimbatore,00:43,20:40,2026-09-12,Down
TR0142,51333,Goods,Salem,Vaniyambadi,COR_10,Salem,Vaniyambadi,12:51,09:20,2026-09-17,Down
TR0143,28340,Suburban,Chennai_Central,Erode,COR_14,Chennai_Central,Erode,05:01,01:30,2026-09-12,Up
TR0144,52184,Goods,Bangarapet,Bengaluru_City,COR_07,Bangarapet,Bengaluru_City,10:02,09:20,2026-09-16,Down
TR0145,67685,Mail/Express,Dindigul,Bangarapet,COR_18,Dindigul,Bangarapet,11:27,06:40,2026-09-07,Up
TR0146,16029,Mail/Express,Jolarpettai,Dharmapuri,COR_08,Jolarpettai,Dharmapuri,04:00,23:30,2026-09-16,Down
TR0147,54917,Passenger,Bengaluru_City,Erode,COR_08,Bengaluru_City,Erode,01:58,01:00,2026-09-15,Down
TR0148,52538,Suburban,Vellore,Coimbatore,COR_10,Vellore,Coimbatore,05:57,04:50,2026-09-17,Up
TR0149,42142,Passenger,Hosur,Bangarapet,COR_05,Hosur,Bangarapet,21:14,17:00,2026-09-21,Down
TR0150,18913,Mail/Express,Tiruchirappalli,Hosur,COR_18,Tiruchirappalli,Hosur,23:41,22:00,2026-09-14,Down
TR0151,70398,Passenger,Bangarapet,Jolarpettai,COR_15,Bangarapet,Jolarpettai,12:56,10:30,2026-09-10,Down
TR0152,66011,Passenger,Chennai_Central,Vaniyambadi,COR_09,Chennai_Central,Vaniyambadi,07:50,03:50,2026-09-19,Up
TR0153,14205,Suburban,Arakkonam,Tiruchirappalli,COR_17,Arakkonam,Tiruchirappalli,15:13,11:00,2026-09-14,Down
TR0154,24723,Goods,Dharmapuri,Katpadi,COR_10,Dharmapuri,Katpadi,00:17,23:00,2026-09-20,Up
TR0155,46289,Goods,Tiruppur,Bangarapet,COR_19,Tiruppur,Bangarapet,07:00,02:50,2026-09-08,Down
TR0156,12815,Goods,Jolarpettai,Dharmapuri,COR_03,Jolarpettai,Dharmapuri,18:51,14:40,2026-09-13,Up
TR0157,65987,Passenger,Erode,Chennai_Central,COR_20,Erode,Chennai_Central,03:25,00:10,2026-09-11,Down
TR0158,34752,Mail/Express,Tiruppur,Bangarapet,COR_18,Tiruppur,Bangarapet,20:08,18:20,2026-09-10,Down
TR0159,26688,Goods,Vellore,Chennai_Central,COR_06,Vellore,Chennai_Central,18:30,17:40,2026-09-06,Down
TR0160,65611,Suburban,Krishnarajapuram,Bangarapet,COR_11,Krishnarajapuram,Bangarapet,08:13,06:20,2026-09-11,Up
TR0161,13332,Goods,Chennai_Central,Vaniyambadi,COR_12,Chennai_Central,Vaniyambadi,17:42,14:00,2026-09-10,Down
TR0162,59873,Goods,Tiruppur,Dindigul,COR_02,Tiruppur,Dindigul,14:25,12:10,2026-09-07,Up
TR0163,25775,Suburban,Tiruchirappalli,Dindigul,COR_06,Tiruchirappalli,Dindigul,05:27,03:10,2026-09-23,Down
TR0164,57167,Goods,Karur,Bangarapet,COR_11,Karur,Bangarapet,10:49,06:00,2026-09-20,Up
TR0165,23115,Passenger,Chennai_Central,Dindigul,COR_15,Chennai_Central,Dindigul,16:24,12:30,2026-09-13,Up
TR0166,71782,Passenger,Hosur,Krishnarajapuram,COR_14,Hosur,Krishnarajapuram,01:49,22:00,2026-09-12,Down
TR0167,26770,Goods,Vaniyambadi,Krishnarajapuram,COR_02,Vaniyambadi,Krishnarajapuram,06:14,05:40,2026-09-08,Down
TR0168,58719,Goods,Arakkonam,Bangarapet,COR_02,Arakkonam,Bangarapet,02:50,23:50,2026-09-09,Down
TR0169,57850,Mail/Express,Jolarpettai,Tiruchirappalli,COR_06,Jolarpettai,Tiruchirappalli,06:52,04:50,2026-09-07,Up
TR0170,44757,Goods,Coimbatore,Bangarapet,COR_01,Coimbatore,Bangarapet,13:11,09:30,2026-09-04,Up
TR0171,63432,Passenger,Chennai_Central,Coimbatore,COR_11,Chennai_Central,Coimbatore,03:33,01:50,2026-09-16,Up
TR0172,65034,Suburban,Vellore,Chennai_Central,COR_06,Vellore,Chennai_Central,12:27,11:10,2026-09-07,Down
TR0173,50819,Goods,Karur,Tiruppur,COR_15,Karur,Tiruppur,05:10,04:40,2026-09-12,Up
TR0174,72624,Goods,Dindigul,Salem,COR_11,Dindigul,Salem,21:09,19:50,2026-09-22,Up
TR0175,20772,Goods,Krishnarajapuram,Tiruchirappalli,COR_05,Krishnarajapuram,Tiruchirappalli,06:35,04:10,2026-09-16,Down
TR0176,49466,Passenger,Vellore,Krishnarajapuram,COR_20,Vellore,Krishnarajapuram,09:24,07:20,2026-09-18,Down
TR0177,14485,Goods,Dharmapuri,Karur,COR_05,Dharmapuri,Karur,13:34,11:50,2026-09-16,Up
TR0178,41172,Passenger,Jolarpettai,Chennai_Central,COR_07,Jolarpettai,Chennai_Central,05:37,04:50,2026-09-14,Up
TR0179,69258,Suburban,Coimbatore,Dindigul,COR_19,Coimbatore,Dindigul,15:07,11:10,2026-09-18,Down
TR0180,54217,Passenger,Tiruppur,Vellore,COR_18,Tiruppur,Vellore,04:13,23:20,2026-09-09,Down
TR0181,78035,Passenger,Coimbatore,Tiruppur,COR_11,Coimbatore,Tiruppur,00:25,21:00,2026-09-15,Down
TR0182,24566,Passenger,Dindigul,Vaniyambadi,COR_01,Dindigul,Vaniyambadi,07:34,03:10,2026-09-13,Up
TR0183,76155,Passenger,Hosur,Tiruppur,COR_12,Hosur,Tiruppur,14:52,13:40,2026-09-20,Up
TR0184,78888,Goods,Krishnarajapuram,Chennai_Central,COR_05,Krishnarajapuram,Chennai_Central,10:21,06:50,2026-09-08,Up
TR0185,59082,Passenger,Salem,Krishnarajapuram,COR_18,Salem,Krishnarajapuram,00:35,22:40,2026-09-09,Up
TR0186,62543,Passenger,Dindigul,Karur,COR_05,Dindigul,Karur,07:15,06:20,2026-09-20,Down
TR0187,10046,Passenger,Tiruppur,Dharmapuri,COR_16,Tiruppur,Dharmapuri,07:53,04:50,2026-09-21,Down
TR0188,73036,Mail/Express,Katpadi,Arakkonam,COR_07,Katpadi,Arakkonam,14:53,13:10,2026-09-11,Down
TR0189,55928,Passenger,Karur,Erode,COR_06,Karur,Erode,20:47,18:10,2026-09-12,Up
TR0190,46106,Mail/Express,Vellore,Vaniyambadi,COR_13,Vellore,Vaniyambadi,08:12,06:30,2026-09-04,Up
TR0191,40432,Goods,Hosur,Tiruchirappalli,COR_17,Hosur,Tiruchirappalli,08:21,03:50,2026-09-13,Up
TR0192,45665,Suburban,Tiruppur,Vaniyambadi,COR_18,Tiruppur,Vaniyambadi,06:14,02:50,2026-09-05,Down
TR0193,73871,Mail/Express,Vellore,Tiruppur,COR_09,Vellore,Tiruppur,15:36,13:40,2026-09-11,Up
TR0194,65269,Passenger,Salem,Krishnarajapuram,COR_03,Salem,Krishnarajapuram,01:41,21:30,2026-09-07,Down
TR0195,56748,Passenger,Bengaluru_City,Tiruchirappalli,COR_09,Bengaluru_City,Tiruchirappalli,13:08,10:30,2026-09-07,Down
TR0196,23626,Suburban,Coimbatore,Krishnarajapuram,COR_08,Coimbatore,Krishnarajapuram,21:16,18:30,2026-09-19,Down
TR0197,22920,Goods,Tiruchirappalli,Erode,COR_20,Tiruchirappalli,Erode,03:05,01:40,2026-09-07,Up
TR0198,55521,Goods,Karur,Erode,COR_12,Karur,Erode,23:40,22:50,2026-09-18,Down
TR0199,13360,Passenger,Tiruchirappalli,Arakkonam,COR_19,Tiruchirappalli,Arakkonam,17:01,12:50,2026-09-09,Up
TR0200,43228,Passenger,Vellore,Hosur,COR_11,Vellore,Hosur,17:23,13:00,2026-09-15,Down
TR0201,44494,Mail/Express,Bengaluru_City,Tiruppur,COR_08,Bengaluru_City,Tiruppur,05:44,01:20,2026-09-09,Up
TR0202,32551,Mail/Express,Dindigul,Dharmapuri,COR_18,Dindigul,Dharmapuri,02:58,23:30,2026-09-06,Down
TR0203,21853,Goods,Dindigul,Krishnarajapuram,COR_12,Dindigul,Krishnarajapuram,11:41,10:20,2026-09-14,Down
TR0204,55953,Passenger,Erode,Bangarapet,COR_06,Erode,Bangarapet,13:28,08:50,2026-09-18,Down
TR0205,50701,Suburban,Jolarpettai,Dharmapuri,COR_06,Jolarpettai,Dharmapuri,02:07,00:00,2026-09-24,Down
TR0206,36033,Passenger,Dindigul,Jolarpettai,COR_18,Dindigul,Jolarpettai,13:48,12:40,2026-09-23,Down
TR0207,27436,Suburban,Vaniyambadi,Dharmapuri,COR_09,Vaniyambadi,Dharmapuri,21:13,17:20,2026-09-07,Down
TR0208,42231,Goods,Katpadi,Dharmapuri,COR_20,Katpadi,Dharmapuri,08:20,07:30,2026-09-12,Up
TR0209,38307,Passenger,Krishnarajapuram,Dindigul,COR_16,Krishnarajapuram,Dindigul,11:25,07:10,2026-09-13,Up
TR0210,64044,Passenger,Coimbatore,Tiruppur,COR_01,Coimbatore,Tiruppur,15:48,13:40,2026-09-20,Down
TR0211,66533,Passenger,Erode,Bengaluru_City,COR_19,Erode,Bengaluru_City,01:04,22:20,2026-09-11,Down
TR0212,42361,Mail/Express,Salem,Katpadi,COR_18,Salem,Katpadi,01:24,22:10,2026-09-22,Up
TR0213,39861,Goods,Tiruchirappalli,Coimbatore,COR_04,Tiruchirappalli,Coimbatore,18:43,17:20,2026-09-24,Up
TR0214,75160,Goods,Bengaluru_City,Arakkonam,COR_15,Bengaluru_City,Arakkonam,18:54,14:40,2026-09-06,Up
TR0215,55561,Goods,Dindigul,Tiruppur,COR_01,Dindigul,Tiruppur,18:49,17:50,2026-09-08,Up
TR0216,74331,Goods,Katpadi,Bengaluru_City,COR_12,Katpadi,Bengaluru_City,19:04,18:20,2026-09-08,Down
